Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,61.689,62.053,60.711,61.309,496300,0.0,0.0
2017-01-04,61.56,61.746,61.228,61.536,443600,0.0,0.0
2017-01-05,61.503,61.964,60.84,61.285,419300,0.0,0.0
2017-01-06,61.342,61.511,60.97,61.301,354000,0.0,0.0
2017-01-09,61.034,61.083,60.258,60.266,382200,0.0,0.0
2017-01-10,60.161,60.743,60.128,60.282,325600,0.0,0.0
2017-01-11,60.266,60.589,60.007,60.581,329400,0.0,0.0
2017-01-12,60.347,60.686,56.375,56.553,1548600,0.0,0.0
2017-01-13,56.512,57.329,56.448,56.674,1004500,0.0,0.0
2017-01-17,56.715,57.273,56.237,56.415,758200,0.0,0.0
2017-01-18,56.278,57.095,56.019,57.062,567200,0.0,0.0
2017-01-19,57.038,57.062,56.278,56.537,628000,0.0,0.0
2017-01-20,56.698,57.111,56.383,56.844,562300,0.0,0.0
2017-01-23,56.828,56.941,56.124,56.407,437700,0.0,0.0
2017-01-24,56.642,56.868,56.496,56.698,573700,0.0,0.0
2017-01-25,56.998,57.572,56.949,57.523,510500,0.0,0.0
2017-01-26,57.394,57.774,56.99,57.176,858800,0.0,0.0
2017-01-27,57.313,57.313,56.65,57.127,525400,0.0,0.0
2017-01-30,57.054,57.103,56.407,56.658,472700,0.0,0.0
2017-01-31,56.626,57.095,56.512,57.095,941600,0.0,0.0
2017-02-01,57.289,57.507,56.448,56.674,524100,0.0,0.0
2017-02-02,56.205,57.184,56.205,57.151,468700,0.0,0.0
2017-02-03,57.823,58.074,57.305,57.782,610100,0.0,0.0
2017-02-06,57.596,57.718,57.208,57.265,451500,0.0,0.0
2017-02-07,57.232,57.491,56.666,56.973,541200,0.0,0.0
2017-02-08,57.038,57.281,56.779,56.901,569700,0.0,0.0
2017-02-09,56.771,56.901,55.202,56.828,746100,0.0,0.0
2017-02-10,56.828,57.588,56.795,57.483,551800,0.0,0.0
2017-02-13,57.693,58.251,57.491,58.041,533000,0.0,0.0
2017-02-14,58.114,58.656,58.106,58.559,459200,0.0,0.0
2017-02-15,58.397,58.931,58.284,58.907,456800,0.0,0.0
2017-02-16,58.915,59.133,58.696,59.125,351800,0.0,0.0
2017-02-17,58.955,58.98,58.527,58.785,497000,0.0,0.0
2017-02-21,58.98,59.052,58.535,58.931,444200,0.0,0.0
2017-02-22,58.85,59.198,58.721,58.996,397600,0.0,0.0
2017-02-23,58.996,59.408,58.85,59.327,408600,0.0,0.0
2017-02-24,59.19,59.481,58.98,59.449,318700,0.0,0.0
2017-02-27,59.562,59.659,58.923,59.101,328800,0.0,0.0
2017-02-28,59.101,59.271,58.769,59.02,616600,0.0,0.0
2017-03-01,59.934,60.856,59.934,60.792,597200,0.0,0.0
2017-03-02,60.816,60.953,60.08,60.104,487000,0.0,0.0
2017-03-03,59.934,60.152,59.57,59.837,584700,0.0,0.0
2017-03-06,59.732,59.853,59.166,59.198,502400,0.0,0.0
2017-03-07,58.793,59.408,58.793,59.19,404700,0.0,0.0
2017-03-08,59.279,59.659,58.858,58.858,463000,0.0,0.0
2017-03-09,59.093,59.53,59.028,59.392,432200,0.0,0.0
2017-03-10,59.651,59.877,59.271,59.837,473900,0.0,0.0
2017-03-13,59.716,59.821,59.505,59.788,407900,0.0,0.0
2017-03-14,59.522,60.258,59.489,59.942,429200,0.0,0.0
2017-03-15,60.128,60.743,59.732,60.63,598300,0.0,0.0
2017-03-16,60.298,60.905,60.282,60.428,435100,0.0,0.0
2017-03-17,60.565,60.937,60.12,60.816,1542500,0.0,0.0
2017-03-20,60.767,61.044,60.221,60.441,396000,0.5,0.0
2017-03-21,60.71,60.71,59.203,59.269,603100,0.0,0.0
2017-03-22,59.041,59.48,58.682,59.244,452200,0.0,0.0
2017-03-23,59.26,59.806,59.122,59.236,282500,0.0,0.0
2017-03-24,59.285,59.358,58.356,58.536,514500,0.0,0.0
2017-03-27,57.819,58.487,57.729,58.356,392500,0.0,0.0
2017-03-28,58.356,59.187,58.145,59.041,424800,0.0,0.0
2017-03-29,58.853,59.049,58.422,58.43,341400,0.0,0.0
2017-03-30,58.332,58.967,58.299,58.902,329100,0.0,0.0
2017-03-31,58.813,59.195,58.739,58.853,391300,0.0,0.0
2017-04-03,58.984,59.089,58.12,58.291,386700,0.0,0.0
