Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,75.184,75.565,74.531,75.542,1412600,0.0,0.0
2017-01-04,75.595,78.636,75.367,77.937,2490700,0.0,0.0
2017-01-05,77.769,80.073,77.374,80.012,2819800,0.0,0.0
2017-01-06,79.746,80.005,78.834,79.1,1262300,0.0,0.0
2017-01-09,78.781,78.971,77.564,78.157,1494300,0.0,0.0
2017-01-10,78.317,78.522,77.526,77.823,1230000,0.0,0.0
2017-01-11,77.678,78.53,77.511,77.701,935600,0.0,0.0
2017-01-12,77.579,78.469,77.222,77.929,1058500,0.0,0.0
2017-01-13,77.731,78.264,77.617,77.769,718700,0.0,0.0
2017-01-17,78.226,78.895,77.929,78.568,1413000,0.0,0.0
2017-01-18,78.264,79.83,78.195,79.548,1854500,0.0,0.0
2017-01-19,78.902,79.754,78.385,79.64,983100,0.0,0.0
2017-01-20,79.906,80.894,79.883,80.438,1526800,0.0,0.0
2017-01-23,80.362,80.887,80.225,80.628,990300,0.0,0.0
2017-01-24,80.658,81.898,80.415,81.616,1175600,0.0,0.0
2017-01-25,81.578,82.111,80.97,81.647,1302400,0.0,0.0
2017-01-26,81.799,82.377,81.35,81.784,1296000,0.0,0.0
2017-01-27,81.928,81.959,80.537,80.917,849100,0.0,0.0
2017-01-30,81.001,81.001,80.408,80.909,774000,0.0,0.0
2017-01-31,81.039,82.164,81.039,81.829,1303900,0.0,0.0
2017-02-01,81.708,81.928,80.757,80.894,1019900,0.0,0.0
2017-02-02,81.122,81.73,80.757,81.251,955700,0.0,0.0
2017-02-03,81.898,82.871,81.647,81.921,964100,0.0,0.0
2017-02-06,81.632,81.814,80.24,81.267,1446500,0.0,0.0
2017-02-07,81.358,81.966,81.031,81.457,663200,0.0,0.0
2017-02-08,81.556,82.521,81.069,81.921,868100,0.0,0.0
2017-02-09,81.92,82.247,81.092,81.936,712800,0.0,0.0
2017-02-10,81.898,82.171,80.727,81.502,1801600,0.0,0.0
2017-02-13,81.844,82.088,81.35,81.533,1115900,0.0,0.0
2017-02-14,81.502,81.502,79.83,80.058,1837500,0.0,0.0
2017-02-15,79.723,79.723,78.644,79.396,2573500,0.0,0.0
2017-02-16,79.632,80.278,78.172,78.416,2274200,0.0,0.0
2017-02-17,79.883,80.59,77.321,79.183,2336800,0.0,0.0
2017-02-21,79.183,79.807,78.978,79.617,1520200,0.0,0.0
2017-02-22,79.533,80.438,78.484,78.841,1317300,0.0,0.0
2017-02-23,79.145,80.643,78.72,80.461,1299500,0.0,0.0
2017-02-24,80.567,82.422,80.248,81.981,1403700,0.0,0.0
2017-02-27,82.133,82.445,81.7,81.814,671000,0.0,0.0
2017-02-28,81.829,82.438,81.251,82.111,1348600,0.0,0.0
2017-03-01,81.677,82.529,80.795,82.141,1229500,0.0,0.0
2017-03-02,82.141,82.59,80.925,81.624,908300,0.0,0.0
2017-03-03,81.487,82.521,81.092,82.361,794400,0.0,0.0
2017-03-06,82.111,82.232,81.305,81.883,666800,0.0,0.0
2017-03-07,81.54,82.278,81.236,81.715,642100,0.0,0.0
2017-03-08,81.51,81.51,79.29,79.358,1769900,0.0,0.0
2017-03-09,79.305,79.792,78.492,79.054,1428000,0.0,0.0
2017-03-10,79.054,80.499,78.606,78.993,870900,0.0,0.0
2017-03-13,79.27,79.392,78.134,79.139,1121500,0.93,0.0
2017-03-14,79.132,79.139,78.334,78.556,862300,0.0,0.0
2017-03-15,79.016,80.374,79.016,80.175,2187900,0.0,0.0
2017-03-16,80.09,80.436,78.978,79.331,1157900,0.0,0.0
2017-03-17,79.477,79.998,78.924,78.932,1790700,0.0,0.0
2017-03-20,78.978,80.075,78.97,79.576,1261900,0.0,0.0
2017-03-21,79.868,80.551,79.285,79.369,885300,0.0,0.0
2017-03-22,79.86,80.459,79.362,80.267,970600,0.0,0.0
2017-03-23,80.252,81.18,79.906,80.474,762900,0.0,0.0
2017-03-24,80.635,80.95,79.53,79.584,1230600,0.0,0.0
2017-03-27,79.438,79.738,78.395,78.863,678300,0.0,0.0
2017-03-28,79.016,79.507,78.418,79.4,664600,0.0,0.0
2017-03-29,79.369,80.934,79.308,80.835,1140300,0.0,0.0
2017-03-30,80.558,81.126,80.198,80.888,791600,0.0,0.0
2017-03-31,80.65,81.832,80.574,81.617,1157200,0.0,0.0
2017-04-03,81.625,81.794,80.681,81.464,896100,0.0,0.0
