Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,70.517,71.165,70.216,70.581,2075900,0.0,0.0
2017-01-04,70.763,72.096,70.736,71.831,1550500,0.0,0.0
2017-01-05,71.366,71.822,70.791,71.74,1587500,0.0,0.0
2017-01-06,71.776,72.561,71.466,72.251,1634600,0.0,0.0
2017-01-09,71.922,72.105,71.293,71.411,1397200,0.0,0.0
2017-01-10,71.557,71.557,70.489,70.599,2472400,0.0,0.0
2017-01-11,69.942,71.521,69.677,71.493,2787800,0.0,0.0
2017-01-12,71.868,72.881,71.284,72.233,3338600,0.0,0.0
2017-01-13,72.087,72.625,71.758,71.913,1933200,0.0,0.0
2017-01-17,72.424,73.328,72.333,72.881,2253300,0.0,0.0
2017-01-18,73.009,73.41,72.306,72.351,1615900,0.0,0.0
2017-01-19,72.315,72.397,71.521,72.005,1720300,0.0,0.0
2017-01-20,72.096,72.826,71.84,72.68,1853200,0.0,0.0
2017-01-23,72.589,72.844,72.215,72.698,1188600,0.0,0.0
2017-01-24,72.817,73.784,72.744,73.739,1283400,0.0,0.0
2017-01-25,73.976,74.898,73.839,74.852,1996500,0.0,0.0
2017-01-26,75.035,76.057,74.515,74.807,2746600,0.0,0.0
2017-01-27,74.46,74.642,73.647,73.894,1189100,0.0,0.0
2017-01-30,74.031,74.031,73.118,73.812,1672500,0.0,0.0
2017-01-31,73.857,74.159,73.301,74.122,1891000,0.0,0.0
2017-02-01,73.775,74.195,72.424,72.945,4869500,0.0,0.0
2017-02-02,75.674,76.039,73.803,74.843,5021800,0.0,0.0
2017-02-03,74.898,76.212,74.788,75.774,3395500,0.0,0.0
2017-02-06,75.747,75.938,75.354,75.592,2114500,0.0,0.0
2017-02-07,75.92,76.44,75.135,76.121,2402500,0.0,0.0
2017-02-08,75.856,76.194,75.026,75.29,2263800,0.0,0.0
2017-02-09,75.29,75.665,75.108,75.446,1535200,0.0,0.0
2017-02-10,75.354,75.519,74.98,75.382,1684800,0.0,0.0
2017-02-13,75.582,75.728,75.236,75.382,1048900,0.0,0.0
2017-02-14,75.163,76.267,75.026,75.984,1666600,0.0,0.0
2017-02-15,76.057,76.614,75.436,76.249,2035800,0.0,0.0
2017-02-16,76.084,76.395,75.318,76.002,1530100,0.0,0.0
2017-02-17,76.376,78.238,76.294,77.581,6467700,0.0,0.0
2017-02-21,77.764,78.229,77.107,77.253,2411100,0.0,0.0
2017-02-22,77.152,77.572,76.696,76.851,1600100,0.0,0.0
2017-02-23,77.216,77.426,76.541,76.687,1501400,0.0,0.0
2017-02-24,76.723,76.843,76.009,76.751,1225200,0.34,0.0
2017-02-27,76.449,76.723,75.605,76.036,1264600,0.0,0.0
2017-02-28,76.064,76.43,75.825,75.926,1556200,0.0,0.0
2017-03-01,76.229,77.191,75.89,77.026,1622900,0.0,0.0
2017-03-02,77.897,77.933,75.88,75.99,3459500,0.0,0.0
2017-03-03,75.871,76.109,74.863,76.018,1371800,0.0,0.0
2017-03-06,75.633,76.192,75.541,75.798,1184100,0.0,0.0
2017-03-07,75.587,76.009,75.468,75.853,1274100,0.0,0.0
2017-03-08,75.917,76.293,75.798,76.0,1126700,0.0,0.0
2017-03-09,76.339,76.375,75.752,75.954,958600,0.0,0.0
2017-03-10,77.173,79.198,77.118,78.611,3603700,0.0,0.0
2017-03-13,78.3,78.694,78.052,78.236,1523600,0.0,0.0
2017-03-14,77.86,78.181,77.402,77.695,1126000,0.0,0.0
2017-03-15,77.667,78.584,77.667,78.199,1412700,0.0,0.0
2017-03-16,78.126,78.511,77.988,78.428,915300,0.0,0.0
2017-03-17,78.547,79.418,78.263,78.776,2237900,0.0,0.0
2017-03-20,78.602,79.317,78.355,79.28,2210900,0.0,0.0
2017-03-21,79.711,80.233,79.17,79.253,2149500,0.0,0.0
2017-03-22,79.161,79.629,78.895,79.299,1226600,0.0,0.0
2017-03-23,79.189,79.949,79.143,79.289,1348100,0.0,0.0
2017-03-24,79.326,79.94,78.181,78.822,1888200,0.0,0.0
2017-03-27,78.346,79.335,78.236,78.648,1786100,0.0,0.0
2017-03-28,78.382,78.932,77.796,78.456,1591100,0.0,0.0
2017-03-29,78.501,78.969,78.199,78.373,1300600,0.0,0.0
2017-03-30,78.281,78.501,78.098,78.208,1373600,0.0,0.0
2017-03-31,78.135,78.639,77.631,77.704,2078600,0.0,0.0
2017-04-03,77.649,78.08,76.375,76.522,2666400,0.0,0.0
2017-04-04,77.292,78.144,76.696,77.951,2691500,0.0,0.0
2017-04-05,77.997,79.189,77.686,78.116,2665200,0.0,0.0
2017-04-06,77.768,78.446,77.246,77.319,1809700,0.0,0.0
2017-04-07,77.31,77.392,76.678,77.118,1096300,0.0,0.0
2017-04-10,77.292,77.887,77.026,77.64,1074600,0.0,0.0
2017-04-11,77.539,77.915,77.127,77.759,994600,0.0,0.0
2017-04-12,77.319,77.924,77.283,77.823,934100,0.0,0.0
2017-04-13,77.677,78.181,77.622,77.842,1043500,0.0,0.0
2017-04-17,77.979,78.263,77.942,78.226,765000,0.0,0.0
2017-04-18,78.052,79.161,77.75,79.079,2110100,0.0,0.0
2017-04-19,79.125,79.629,78.318,78.465,1507300,0.0,0.0
2017-04-20,78.584,79.207,78.208,78.84,1506600,0.0,0.0
2017-04-21,78.776,78.95,77.906,78.062,1501100,0.0,0.0
2017-04-24,78.547,79.115,78.391,78.804,1312900,0.0,0.0
2017-04-25,79.06,80.389,79.042,80.078,1759800,0.0,0.0
2017-04-26,80.105,81.022,79.977,80.472,2709600,0.0,0.0
2017-04-27,80.389,80.802,80.05,80.114,1603700,0.0,0.0
2017-04-28,79.922,80.252,79.326,79.858,1717000,0.0,0.0
2017-05-01,80.353,81.003,79.821,79.894,1562200,0.0,0.0
2017-05-02,79.83,80.472,79.748,80.169,2660800,0.0,0.0
2017-05-03,82.616,84.229,82.46,83.67,5116200,0.0,0.0
2017-05-04,83.817,84.504,83.184,84.183,2483000,0.0,0.0
2017-05-05,83.743,85.182,83.432,85.1,2086100,0.0,0.0
2017-05-08,84.843,85.182,84.44,84.871,1586500,0.0,0.0
2017-05-09,85.017,85.237,84.568,85.21,2162400,0.0,0.0
2017-05-10,85.64,86.575,85.567,86.218,2572100,0.0,0.0
2017-05-11,85.897,86.007,85.091,85.136,2338500,0.0,0.0
2017-05-12,85.301,85.301,84.651,85.164,1295200,0.0,0.0
2017-05-15,85.21,85.576,84.751,84.871,1813700,0.0,0.0
2017-05-16,85.036,85.182,84.092,84.22,1646500,0.0,0.0
