Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,110.324,111.703,109.33,110.333,789800,0.0,0.0
2017-01-04,110.601,112.016,110.055,111.694,477200,0.0,0.0
2017-01-05,111.157,112.84,111.04,112.768,583600,0.0,0.0
2017-01-06,113.69,114.46,112.956,113.502,812200,0.0,0.0
2017-01-09,113.126,114.093,112.741,112.813,467800,0.0,0.0
2017-01-10,112.831,113.726,112.41,113.001,643700,0.0,0.0
2017-01-11,112.768,113.323,112.079,112.58,609300,0.0,0.0
2017-01-12,111.971,113.941,111.533,112.562,519300,0.0,0.0
2017-01-13,112.669,113.162,111.568,111.667,635000,0.0,0.0
2017-01-17,111.398,112.75,110.575,112.204,778600,0.0,0.0
2017-01-18,112.67,113.35,112.186,112.956,771600,0.0,0.0
2017-01-19,113.153,113.162,112.016,112.347,473100,0.0,0.0
2017-01-20,112.571,112.929,111.586,112.866,555800,0.0,0.0
2017-01-23,112.499,112.983,111.882,112.455,539000,0.0,0.0
2017-01-24,112.392,113.207,112.088,112.956,550400,0.0,0.0
2017-01-25,113.422,114.344,113.287,114.209,777200,0.0,0.0
2017-01-26,114.129,114.541,113.807,114.218,442800,0.0,0.0
2017-01-27,113.789,113.789,111.479,113.198,664600,0.0,0.0
2017-01-30,112.786,112.813,111.004,112.419,542000,0.0,0.0
2017-01-31,112.652,112.795,111.55,112.025,710400,0.0,0.0
2017-02-01,112.616,112.616,111.13,111.282,670800,0.0,0.0
2017-02-02,111.013,112.464,110.87,112.123,544300,0.0,0.0
2017-02-03,112.732,113.377,111.828,112.132,1436600,0.0,0.0
2017-02-06,111.264,111.721,110.655,110.718,660500,0.0,0.0
2017-02-07,111.255,111.631,110.297,110.512,775300,0.0,0.0
2017-02-08,110.073,110.485,109.706,110.109,957400,0.0,0.0
2017-02-09,111.909,112.804,108.211,109.706,2461700,0.0,0.0
2017-02-10,109.617,111.497,108.507,111.076,909900,0.0,0.0
2017-02-13,111.309,112.222,111.103,112.034,714800,0.0,0.0
2017-02-14,112.15,112.544,111.183,112.061,650500,0.0,0.0
2017-02-15,111.882,112.634,111.273,112.294,490800,0.0,0.0
2017-02-16,112.302,113.296,112.302,113.162,524500,0.0,0.0
2017-02-17,112.795,114.917,112.571,114.908,719100,0.0,0.0
2017-02-21,114.594,115.606,113.771,114.371,781500,0.0,0.0
2017-02-22,113.565,114.675,113.332,113.699,531700,0.0,0.0
2017-02-23,113.923,114.263,113.046,113.842,582900,0.0,0.0
2017-02-24,113.484,114.738,112.258,114.675,577600,0.0,0.0
2017-02-27,114.711,115.266,113.923,114.809,422800,0.0,0.0
2017-02-28,114.854,115.337,114.415,114.979,717000,0.0,0.0
2017-03-01,115.669,117.817,115.32,117.316,876200,0.0,0.0
2017-03-02,117.092,117.173,115.49,115.955,805500,0.0,0.0
2017-03-03,115.785,116.564,115.525,116.349,531200,0.0,0.0
2017-03-06,115.23,115.964,114.899,114.908,640700,0.0,0.0
2017-03-07,114.639,115.105,113.368,114.263,504400,0.0,0.0
2017-03-08,114.46,114.657,113.296,113.422,595900,0.0,0.0
2017-03-09,113.69,114.03,113.037,113.574,619300,0.0,0.0
2017-03-10,113.995,114.612,113.207,114.576,735300,0.0,0.0
2017-03-13,114.523,115.552,114.469,115.427,493000,0.0,0.0
2017-03-14,114.943,115.678,114.747,115.508,641400,0.0,0.0
2017-03-15,115.946,116.689,115.382,116.358,781400,0.0,0.0
2017-03-16,116.313,117.2,115.687,115.758,807300,0.0,0.0
2017-03-17,115.955,116.743,114.415,116.349,968700,0.0,0.0
2017-03-20,115.937,116.922,115.749,116.555,655900,0.0,0.0
2017-03-21,116.734,117.128,115.499,115.66,924100,0.0,0.0
2017-03-22,115.821,116.448,115.087,115.803,637700,0.0,0.0
2017-03-23,115.776,116.689,115.248,115.651,629300,0.0,0.0
2017-03-24,115.713,116.877,115.534,116.277,722300,0.0,0.0
2017-03-27,115.069,116.582,114.747,116.403,444900,0.0,0.0
2017-03-28,115.946,118.292,115.946,118.113,668300,0.0,0.0
2017-03-29,117.466,117.969,117.466,117.708,563500,0.53,0.0
2017-03-30,117.259,118.427,117.115,117.906,537000,0.0,0.0
2017-03-31,117.636,117.969,117.277,117.654,628100,0.0,0.0
2017-04-03,117.69,118.212,115.857,116.791,1039000,0.0,0.0
2017-04-04,116.675,117.223,116.243,117.142,706900,0.0,0.0
2017-04-05,117.268,118.095,116.728,116.8,434200,0.0,0.0
2017-04-06,116.675,117.142,114.598,116.558,942500,0.0,0.0
2017-04-07,116.324,116.531,115.425,115.47,724600,0.0,0.0
2017-04-10,115.299,115.857,114.661,114.841,1081600,0.0,0.0
2017-04-11,114.275,114.652,112.998,114.284,719700,0.0,0.0
2017-04-12,114.059,114.203,112.953,113.51,658000,0.0,0.0
2017-04-13,113.259,114.49,112.953,113.744,962000,0.0,0.0
2017-04-17,114.032,115.704,113.061,115.623,570700,0.0,0.0
2017-04-18,114.922,115.731,114.158,115.155,534100,0.0,0.0
2017-04-19,115.74,115.955,115.191,115.281,543100,0.0,0.0
2017-04-20,115.695,117.142,115.119,116.728,488800,0.0,0.0
2017-04-21,116.684,116.998,114.841,115.101,798100,0.0,0.0
2017-04-24,117.034,117.304,115.875,116.926,859900,0.0,0.0
2017-04-25,117.295,118.751,117.295,118.463,505900,0.0,0.0
2017-04-26,118.257,119.704,118.212,119.128,819500,0.0,0.0
2017-04-27,119.227,119.937,118.616,119.596,610600,0.0,0.0
2017-04-28,119.83,119.964,119.066,119.209,1017500,0.0,0.0
2017-05-01,119.902,120.135,119.111,119.758,770000,0.0,0.0
2017-05-02,119.623,120.198,119.425,120.189,883800,0.0,0.0
2017-05-03,119.785,121.277,119.65,120.459,1619200,0.0,0.0
2017-05-04,122.248,128.405,122.248,127.947,2863000,0.0,0.0
2017-05-05,127.955,129.627,127.955,129.618,1696800,0.0,0.0
2017-05-08,129.843,131.506,129.304,129.699,2015200,0.0,0.0
2017-05-09,129.933,130.571,127.587,127.74,1405500,0.0,0.0
2017-05-10,127.776,128.234,126.688,127.605,1272000,0.0,0.0
2017-05-11,127.263,128.252,126.769,128.054,1434400,0.0,0.0
2017-05-12,127.641,128.54,127.272,127.928,937700,0.0,0.0
2017-05-15,127.928,128.504,127.641,128.063,1020100,0.0,0.0
2017-05-16,128.36,129.034,125.978,128.225,789800,0.0,0.0
2017-05-17,127.182,127.677,126.284,126.409,1340000,0.0,0.0
2017-05-18,125.771,126.508,125.268,125.708,1493600,0.0,0.0
2017-05-19,126.068,126.913,125.672,125.897,1365700,0.0,0.0
2017-05-22,126.131,126.913,125.573,126.454,794800,0.0,0.0
2017-05-23,126.338,127.47,126.176,126.94,673700,0.0,0.0
2017-05-24,126.814,128.405,126.329,128.324,689700,0.0,0.0
2017-05-25,128.567,130.607,127.982,130.158,948800,0.0,0.0
2017-05-26,130.373,130.445,128.764,130.337,956700,0.0,0.0
2017-05-30,129.573,130.634,127.344,130.373,797800,0.0,0.0
2017-05-31,130.382,132.243,129.475,131.803,1238000,0.0,0.0
2017-06-01,131.785,132.98,131.443,131.803,1045500,0.0,0.0
2017-06-02,131.317,132.585,131.039,132.297,795400,0.0,0.0
2017-06-05,132.531,133.034,132.081,132.18,592400,0.0,0.0
2017-06-06,131.659,131.659,130.481,130.688,524200,0.0,0.0
2017-06-07,130.805,130.931,129.834,130.67,613100,0.0,0.0
2017-06-08,130.418,131.56,130.104,130.796,721300,0.0,0.0
2017-06-09,130.823,131.641,130.113,130.931,1042200,0.0,0.0
2017-06-12,131.272,131.848,129.834,131.452,827700,0.0,0.0
2017-06-13,131.03,132.773,130.868,132.297,661100,0.0,0.0
2017-06-14,132.324,133.358,131.83,133.016,515600,0.0,0.0
2017-06-15,132.432,133.654,131.066,133.412,451900,0.0,0.0
2017-06-16,134.05,134.823,132.621,134.517,1180000,0.0,0.0
2017-06-19,134.832,135.254,133.834,134.445,535000,0.0,0.0
2017-06-20,134.814,135.138,132.693,134.445,622700,0.0,0.0
2017-06-21,134.248,134.733,133.286,133.573,817900,0.0,0.0
2017-06-22,132.998,133.376,130.149,130.382,1189800,0.0,0.0
2017-06-23,130.967,130.985,129.349,130.661,7654200,0.0,0.0
2017-06-26,130.661,131.686,129.888,130.409,829800,0.0,0.0
2017-06-27,130.4,131.236,129.996,130.257,767200,0.0,0.0
2017-06-28,130.951,132.819,130.302,132.476,864100,0.53,0.0
2017-06-29,132.35,133.342,131.321,132.359,895600,0.0,0.0
2017-06-30,132.323,132.647,131.023,131.231,653900,0.0,0.0
2017-07-03,132.151,133.062,131.393,132.07,371600,0.0,0.0
2017-07-05,132.034,132.305,131.222,131.258,671900,0.0,0.0
2017-07-06,131.348,133.306,130.581,130.843,686800,0.0,0.0
2017-07-07,131.105,132.404,130.572,132.007,508800,0.0,0.0
2017-07-10,131.348,132.512,130.085,131.908,760900,0.0,0.0
2017-07-11,132.052,132.187,130.022,130.365,493500,0.0,0.0
2017-07-12,130.365,131.33,129.102,131.15,685200,0.0,0.0
2017-07-13,131.411,131.754,130.049,131.457,451800,0.0,0.0
2017-07-14,131.114,132.711,130.473,132.151,475800,0.0,0.0
2017-07-17,132.025,133.504,131.664,133.45,658500,0.0,0.0
2017-07-18,132.503,133.243,130.816,132.729,502600,0.0,0.0
